id,status,card_type,applied_date 
1,ACCEPTED,platinum,2026-03-01
2,DECLINED,premium,2026-03-02
3,COMPLETED,platinum,2026-03-03
4,ACCEPTED,premium,2026-03-04
5,DECLINED,platinum,2026-03-05
6,COMPLETED,premium,2026-03-06
7,ACCEPTED,platinum,2026-03-07
8,DECLINED,premium,2026-03-08
9,COMPLETED,platinum,2026-03-09
10,ACCEPTED,premium,2026-03-10
11,DECLINED,platinum,2026-03-11
12,COMPLETED,premium,2026-03-12
13,ACCEPTED,platinum,2026-03-13
14,DECLINED,premium,2026-03-14
15,COMPLETED,platinum,2026-03-15
16,ACCEPTED,premium,2026-03-16
17,DECLINED,platinum,2026-03-17
18,COMPLETED,premium,2026-03-18
19,ACCEPTED,platinum,2026-03-19
20,DECLINED,premium,2026-03-20
21,COMPLETED,platinum,2026-03-21
22,ACCEPTED,premium,2026-03-22
23,DECLINED,platinum,2026-03-23
24,COMPLETED,premium,2026-03-24
25,ACCEPTED,platinum,2026-03-25
