id,status,card_type,applied_date
APP-2026-12-001,COMPLETED,premium,2026-12-01 08:00:00
APP-2026-12-002,COMPLETED,platinum,2026-12-02 09:07:00
APP-2026-12-003,COMPLETED,premium,2026-12-03 10:14:00
APP-2026-12-004,COMPLETED,platinum,2026-12-04 11:21:00
APP-2026-12-005,COMPLETED,premium,2026-12-05 12:28:00
APP-2026-12-006,COMPLETED,platinum,2026-12-06 13:35:00
APP-2026-12-007,COMPLETED,premium,2026-12-07 14:42:00
APP-2026-12-008,COMPLETED,platinum,2026-12-08 15:49:00
APP-2026-12-009,COMPLETED,premium,2026-12-09 16:56:00
APP-2026-12-010,COMPLETED,platinum,2026-12-10 08:03:00
APP-2026-12-011,COMPLETED,premium,2026-12-11 09:10:00
APP-2026-12-012,COMPLETED,platinum,2026-12-12 10:17:00
APP-2026-12-013,COMPLETED,premium,2026-12-13 11:24:00
APP-2026-12-014,REJECTED,platinum,2026-12-14 12:31:00
APP-2026-12-015,REJECTED,premium,2026-12-15 13:38:00
APP-2026-12-016,REJECTED,platinum,2026-12-16 14:45:00
APP-2026-12-017,REJECTED,premium,2026-12-17 15:52:00
APP-2026-12-018,IN_PROGRESS,platinum,2026-12-18 16:59:00
APP-2026-12-019,IN_PROGRESS,premium,2026-12-19 08:06:00
APP-2026-12-020,IN_PROGRESS,platinum,2026-12-20 09:13:00
APP-2026-12-021,IN_PROGRESS,premium,2026-12-21 10:20:00
APP-2026-12-022,IN_PROGRESS,platinum,2026-12-22 11:27:00
APP-2026-12-023,IN_PROGRESS,premium,2026-12-23 12:34:00
APP-2026-12-024,IN_PROGRESS,platinum,2026-12-24 13:41:00
APP-2026-12-025,IN_PROGRESS,premium,2026-12-25 14:48:00
