application_id,submitted_at,channel,product_code,requested_limit,status,steps_reached,stopped_at_step,decline_reason_code,decided_at,granted_limit,last_updated_at,age_band,residence_country,employment_status,annual_income,dti_ratio,credit_band,apr,screening_outcome,kyc_outcome,agreement_outcome
APP-2026-00903,2026-03-17T17:38:17Z,WEB,CREDIT_CARD_STANDARD,10000,REJECTED,4,credit,CRE_AFFORDABILITY_EXCEEDED,2026-03-18T01:05:18Z,,2026-03-18T01:05:18Z,25-34,GB,STUDENT,13000,0.53,E,19.9,CLEAR,VERIFIED,
APP-2026-00899,2026-03-17T20:26:22Z,AGGREGATOR,CREDIT_CARD_STUDENT,16750,REJECTED,4,credit,CRE_AFFORDABILITY_EXCEEDED,2026-03-18T01:26:07Z,,2026-03-18T01:26:07Z,25-34,GB,CONTRACT,26000,0.26,C,19.9,CLEAR,VERIFIED,
APP-2026-00889,2026-03-16T20:26:49Z,WEB,CREDIT_CARD_STUDENT,5000,COMPLETED,8,,,2026-03-18T01:52:09Z,5000.0,2026-03-18T01:52:09Z,25-34,GB,PERMANENT,38000,0.41,C,24.9,CLEAR,VERIFIED,SIGNED
APP-2026-00896,2026-03-17T17:16:06Z,MOBILE_APP,CREDIT_CARD_REWARDS,17500,IN_PROGRESS,5,agreement,,,,2026-03-18T02:14:05Z,25-34,ES,SELF_EMPLOYED,35500,0.31,B,19.9,CLEAR,VERIFIED,
APP-2026-00890,2026-03-16T14:25:46Z,MOBILE_APP,CREDIT_CARD_STUDENT,4750,COMPLETED,8,,,2026-03-18T03:05:20Z,4750.0,2026-03-18T03:05:20Z,35-44,GB,PERMANENT,126500,0.37,C,24.9,CLEAR,VERIFIED,SIGNED
APP-2026-00901,2026-03-17T18:05:36Z,MOBILE_APP,CREDIT_CARD_STANDARD,3000,REJECTED,4,credit,CRE_INCOME_BELOW_MINIMUM,2026-03-18T04:11:00Z,,2026-03-18T04:11:00Z,25-34,GB,UNEMPLOYED,9500,0.33,D,24.9,CLEAR,VERIFIED,
APP-2026-00898,2026-03-17T14:06:44Z,WEB,CREDIT_CARD_STUDENT,3000,COMPLETED,8,,,2026-03-18T07:14:22Z,3000.0,2026-03-18T07:14:22Z,25-34,GB,RETIRED,20500,0.43,C,24.9,CLEAR,VERIFIED,SIGNED
APP-2026-00877,2026-03-15T20:52:16Z,MOBILE_APP,CREDIT_CARD_STUDENT,10250,COMPLETED,8,,,2026-03-18T07:59:00Z,9500.0,2026-03-18T07:59:00Z,55-64,GB,PERMANENT,34000,0.29,B,19.9,CLEAR,VERIFIED,SIGNED
APP-2026-00883,2026-03-16T10:23:55Z,BRANCH,CREDIT_CARD_STUDENT,5000,COMPLETED,8,,,2026-03-18T10:03:11Z,5000.0,2026-03-18T10:03:11Z,18-24,GB,PERMANENT,39000,0.34,B,24.9,CLEAR,VERIFIED,SIGNED
APP-2026-00908,2026-03-18T10:57:13Z,MOBILE_APP,CREDIT_CARD_STANDARD,6000,IN_PROGRESS,5,agreement,,,,2026-03-18T15:11:39Z,35-44,GB,RETIRED,33500,0.41,C,24.9,CLEAR,VERIFIED,
APP-2026-00904,2026-03-17T20:13:59Z,MOBILE_APP,CREDIT_CARD_REWARDS,23750,COMPLETED,8,,,2026-03-18T15:33:07Z,10750.0,2026-03-18T15:33:07Z,18-24,GB,SELF_EMPLOYED,39000,0.26,B,19.9,CLEAR,VERIFIED,SIGNED
APP-2026-00918,2026-03-18T12:19:58Z,BRANCH,CREDIT_CARD_STANDARD,17250,REFERRED,3,screening,SCR_PARTIAL_MATCH,2026-03-18T16:45:48Z,,2026-03-18T16:45:48Z,45-54,RU,UNEMPLOYED,1000,0.23,D,19.9,REVIEW,VERIFIED,
APP-2026-00915,2026-03-18T16:38:16Z,MOBILE_APP,CREDIT_CARD_REWARDS,5250,REJECTED,0,verification,VER_INVALID_FIELD,2026-03-18T16:58:22Z,,2026-03-18T16:58:22Z,45-54,GB,SELF_EMPLOYED,38000,0.36,C,24.9,,,
APP-2026-00919,2026-03-18T10:20:14Z,WEB,CREDIT_CARD_STANDARD,6000,IN_PROGRESS,5,agreement,,,,2026-03-18T17:36:41Z,18-24,GB,SELF_EMPLOYED,25000,0.38,C,24.9,CLEAR,VERIFIED,
APP-2026-00917,2026-03-18T10:58:10Z,MOBILE_APP,CREDIT_CARD_STUDENT,9500,IN_PROGRESS,5,agreement,,,,2026-03-18T18:20:56Z,45-54,GB,CONTRACT,27500,0.4,C,24.9,CLEAR,VERIFIED,
APP-2026-00900,2026-03-17T16:05:43Z,WEB,CREDIT_CARD_REWARDS,5250,COMPLETED,8,,,2026-03-18T19:53:29Z,5250.0,2026-03-18T19:53:29Z,35-44,GB,RETIRED,25500,0.38,C,24.9,CLEAR,VERIFIED,SIGNED
APP-2026-00882,2026-03-16T16:51:04Z,MOBILE_APP,CREDIT_CARD_STUDENT,7750,COMPLETED,8,,,2026-03-18T19:54:01Z,7750.0,2026-03-18T19:54:01Z,18-24,GB,PERMANENT,30500,0.37,C,24.9,CLEAR,VERIFIED,SIGNED
APP-2026-00902,2026-03-17T14:16:13Z,MOBILE_APP,CREDIT_CARD_STANDARD,8750,COMPLETED,8,,,2026-03-18T20:06:48Z,8750.0,2026-03-18T20:06:48Z,35-44,GB,PERMANENT,35000,0.33,B,24.9,CLEAR,VERIFIED,SIGNED
APP-2026-00909,2026-03-18T15:17:55Z,WEB,CREDIT_CARD_REWARDS,4000,IN_PROGRESS,4,credit,,,,2026-03-18T20:22:11Z,25-34,GB,PERMANENT,73500,0.5,D,24.9,CLEAR,VERIFIED,
APP-2026-00907,2026-03-18T19:55:35Z,MOBILE_APP,CREDIT_CARD_STANDARD,5000,IN_PROGRESS,4,credit,,,,2026-03-18T20:40:24Z,45-54,DE,PERMANENT,28500,0.42,C,24.9,CLEAR,VERIFIED,
APP-2026-00913,2026-03-18T20:27:59Z,MOBILE_APP,CREDIT_CARD_REWARDS,1500,IN_PROGRESS,4,credit,,,,2026-03-18T21:33:46Z,25-34,GB,UNEMPLOYED,4000,0.28,D,24.9,CLEAR,VERIFIED,
APP-2026-00911,2026-03-18T13:03:39Z,MOBILE_APP,CREDIT_CARD_REWARDS,8000,IN_PROGRESS,5,agreement,,,,2026-03-18T21:52:54Z,25-34,GB,PERMANENT,29500,0.45,C,24.9,CLEAR,VERIFIED,
APP-2026-00916,2026-03-18T21:30:19Z,AGGREGATOR,CREDIT_CARD_STUDENT,18000,IN_PROGRESS,2,kyc,,,,2026-03-18T21:54:30Z,25-34,GB,CONTRACT,43000,0.41,C,19.9,,,
APP-2026-00906,2026-03-17T14:31:21Z,WEB,CREDIT_CARD_REWARDS,18000,COMPLETED,8,,,2026-03-18T22:06:54Z,18000.0,2026-03-18T22:06:54Z,65+,ES,PERMANENT,95000,0.46,D,19.9,CLEAR,VERIFIED,SIGNED
APP-2026-00895,2026-03-17T11:09:30Z,MOBILE_APP,CREDIT_CARD_STANDARD,4250,COMPLETED,8,,,2026-03-18T22:18:05Z,4250.0,2026-03-18T22:18:05Z,45-54,GB,SELF_EMPLOYED,38500,0.47,D,24.9,CLEAR,VERIFIED,SIGNED
