id,status,card_type,applied_date
76,ACCEPTED,premium,2026-06-01 09:00:00
77,DECLINED,platinum,2026-06-02 09:00:00
78,COMPLETED,premium,2026-06-03 09:00:00
79,ACCEPTED,platinum,2026-06-04 09:00:00
80,DECLINED,premium,2026-06-05 09:00:00
81,COMPLETED,platinum,2026-06-06 09:00:00
82,ACCEPTED,premium,2026-06-07 09:00:00
83,DECLINED,platinum,2026-06-08 09:00:00
84,COMPLETED,premium,2026-06-09 09:00:00
85,ACCEPTED,platinum,2026-06-10 09:00:00
86,DECLINED,premium,2026-06-11 09:00:00
87,COMPLETED,platinum,2026-06-12 09:00:00
88,ACCEPTED,premium,2026-06-13 09:00:00
89,DECLINED,platinum,2026-06-14 09:00:00
90,COMPLETED,premium,2026-06-15 09:00:00
91,ACCEPTED,platinum,2026-06-16 09:00:00
92,DECLINED,premium,2026-06-17 09:00:00
93,COMPLETED,platinum,2026-06-18 09:00:00
94,ACCEPTED,premium,2026-06-19 09:00:00
95,DECLINED,platinum,2026-06-20 09:00:00
96,COMPLETED,premium,2026-06-21 09:00:00
97,ACCEPTED,platinum,2026-06-22 09:00:00
98,DECLINED,premium,2026-06-23 09:00:00
99,COMPLETED,platinum,2026-06-24 09:00:00
100,ACCEPTED,premium,2026-06-25 09:00:00
