id,status,card_type,timestamp
1,ACCEPTED,platinum,2026-03-01 09:00:00
2,DECLINED,premium,2026-03-02 09:00:00
3,COMPLETED,platinum,2026-03-03 09:00:00
4,ACCEPTED,premium,2026-03-04 09:00:00
5,DECLINED,platinum,2026-03-05 09:00:00
6,COMPLETED,premium,2026-03-06 09:00:00
7,ACCEPTED,platinum,2026-03-07 09:00:00
8,DECLINED,premium,2026-03-08 09:00:00
9,COMPLETED,platinum,2026-03-09 09:00:00
10,ACCEPTED,premium,2026-03-10 09:00:00
11,DECLINED,platinum,2026-03-11 09:00:00
12,COMPLETED,premium,2026-03-12 09:00:00
13,ACCEPTED,platinum,2026-03-13 09:00:00
14,DECLINED,premium,2026-03-14 09:00:00
15,COMPLETED,platinum,2026-03-15 09:00:00
16,ACCEPTED,premium,2026-03-16 09:00:00
17,DECLINED,platinum,2026-03-17 09:00:00
18,COMPLETED,premium,2026-03-18 09:00:00
19,ACCEPTED,platinum,2026-03-19 09:00:00
20,DECLINED,premium,2026-03-20 09:00:00
21,COMPLETED,platinum,2026-03-21 09:00:00
22,ACCEPTED,premium,2026-03-22 09:00:00
23,DECLINED,platinum,2026-03-23 09:00:00
24,COMPLETED,premium,2026-03-24 09:00:00
25,ACCEPTED,platinum,2026-03-25 09:00:00
